customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00001,Male,0,No,Yes,62,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,96.23,5991.19,Yes
CUST_00002,Female,0,No,No,69,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,55.25,3832.64,No
CUST_00003,Male,0,No,No,63,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,79.68,5044.19,No
CUST_00004,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,114.51,229.84,No
CUST_00005,Male,0,Yes,Yes,54,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),91.81,4998.57,No
CUST_00006,Female,0,Yes,No,16,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),64.25,1044.65,No
CUST_00007,Male,1,Yes,No,55,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,55.42,3084.42,Yes
CUST_00008,Male,0,No,Yes,43,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.43,1612.9,No
CUST_00009,Male,0,No,Yes,61,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,95.13,5828.89,No
CUST_00010,Female,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,29.47,1165.2,Yes
CUST_00011,Male,0,No,Yes,45,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.26,1111.71,No
CUST_00012,Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.69,1473.18,No
CUST_00013,Male,0,No,Yes,42,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),42.78,1801.56,Yes
CUST_00014,Male,0,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,81.97,2010.15,No
CUST_00015,Female,0,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),105.86,3187.61,No
CUST_00016,Male,1,No,Yes,37,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,119.25,4460.91,Yes
CUST_00017,Female,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),92.61,4920.79,No
CUST_00018,Female,0,Yes,No,63,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),32.89,2096.1,No
CUST_00019,Female,0,Yes,No,11,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),46.33,532.48,No
CUST_00020,Male,0,No,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,31.46,726.74,No
CUST_00021,Female,0,No,Yes,50,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),29.79,1515.91,Yes
CUST_00022,Male,0,No,No,55,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,75.91,4208.61,No
CUST_00023,Female,0,Yes,No,55,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),110.49,6113.82,No
CUST_00024,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,87.8,377.33,No
CUST_00025,Female,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),99.67,5422.61,Yes
CUST_00026,Female,0,No,No,61,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),69.83,4296.98,No
CUST_00027,Female,0,Yes,Yes,5,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),66.48,342.11,No
CUST_00028,Female,1,No,No,18,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,113.62,2065.3,Yes
CUST_00029,Female,0,Yes,Yes,44,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.64,4039.31,Yes
CUST_00030,Female,1,No,Yes,31,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,64.85,2017.11,No
CUST_00031,Male,0,No,Yes,21,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,51.92,1126.0,No
CUST_00032,Male,0,Yes,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.5,1318.98,No
CUST_00033,Female,0,No,No,30,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),101.74,3082.26,No
CUST_00034,Female,0,No,No,55,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),35.27,1976.52,Yes
CUST_00035,Female,0,No,No,68,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,70.53,4810.01,No
CUST_00036,Male,0,Yes,Yes,69,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,83.0,5747.24,Yes
CUST_00037,Female,0,No,Yes,41,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.9,3880.07,Yes
CUST_00038,Male,0,Yes,No,45,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,26.5,1197.38,No
CUST_00039,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),19.09,614.35,No
CUST_00040,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,90.01,4067.75,Yes
CUST_00041,Male,0,Yes,No,45,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,64.35,2928.59,No
CUST_00042,Male,0,No,Yes,45,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,36.48,1691.19,No
CUST_00043,Female,0,Yes,No,55,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,118.17,6522.94,No
CUST_00044,Female,0,No,Yes,59,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.72,5835.12,No
CUST_00045,Female,0,Yes,No,5,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,77.01,395.86,Yes
CUST_00046,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,89.61,2870.7,No
CUST_00047,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),33.81,241.23,Yes
CUST_00048,Male,0,No,Yes,26,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),116.15,3034.49,Yes
CUST_00049,Female,0,No,No,37,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,119.63,4434.93,No
CUST_00050,Female,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.14,1129.52,No
CUST_00051,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),86.17,5961.04,No
CUST_00052,Female,0,No,No,25,Yes,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.85,2276.39,No
CUST_00053,Male,0,Yes,Yes,13,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),85.91,1137.72,No
CUST_00054,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),62.73,1271.33,Yes
CUST_00055,Male,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,73.15,5291.2,No
CUST_00056,Female,1,Yes,No,60,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),46.84,2825.97,No
CUST_00057,Female,0,Yes,Yes,21,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),63.58,1378.68,No
CUST_00058,Male,0,No,Yes,61,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),62.48,3815.09,No
CUST_00059,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,47.39,1233.66,No
CUST_00060,Male,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),98.24,5325.49,Yes
CUST_00061,Male,0,Yes,Yes,42,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),59.79,2519.68,No
CUST_00062,Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,74.27,854.21,Yes
CUST_00063,Male,0,Yes,Yes,37,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,33.92,1272.76,No
CUST_00064,Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.45,743.98,No
CUST_00065,Male,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,95.67,2601.02,No
CUST_00066,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),63.34,2164.59,Yes
CUST_00067,Female,0,Yes,Yes,38,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),74.89,2860.79,No
CUST_00068,Male,0,Yes,No,61,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,89.57,5492.42,No
CUST_00069,Female,0,No,Yes,53,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,57.68,3100.0,No
